parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
4036,-0.0334549,-0.0465094,0.0566302,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458893,7.18763,1.85E-15
4037,-0.0334549,-0.0465094,0.0566301,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458893,7.18763,1.85E-15
4038,-0.033455,-0.0465094,0.0566301,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458893,7.18763,1.85E-15
4039,-0.033455,-0.0465094,0.0566301,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458893,7.18763,1.85E-15
4040,-0.033455,-0.0465095,0.05663,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458893,7.18763,1.85E-15
4041,-0.033455,-0.0465095,0.05663,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458894,7.18763,1.85E-15
4042,-0.033455,-0.0465095,0.05663,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458894,7.18763,1.85E-15
4043,-0.033455,-0.0465095,0.0566299,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458894,7.18763,1.85E-15
4044,-0.033455,-0.0465095,0.0566299,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458894,7.18763,1.85E-15
4045,-0.033455,-0.0465095,0.0566299,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458894,7.18763,1.85E-15
4046,-0.033455,-0.0465095,0.0566299,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458895,7.18763,1.85E-15
4047,-0.033455,-0.0465095,0.0566298,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458895,7.18763,1.85E-15
4048,-0.033455,-0.0465095,0.0566298,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458895,7.18763,1.85E-15
4049,-0.0334551,-0.0465095,0.0566298,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458895,7.18763,1.85E-15
4050,-0.0334551,-0.0465095,0.0566297,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458895,7.18763,1.85E-15
4051,-0.0334551,-0.0465095,0.0566297,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458896,7.18763,1.85E-15
4052,-0.0334551,-0.0465095,0.0566297,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458896,7.18763,1.85E-15
4053,-0.0334551,-0.0465096,0.0566296,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458896,7.18763,1.85E-15
4054,-0.0334551,-0.0465096,0.0566296,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458896,7.18763,1.85E-15
4055,-0.0334551,-0.0465096,0.0566296,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458896,7.18763,1.85E-15
4056,-0.0334551,-0.0465096,0.0566295,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458897,7.18763,1.85E-15
4057,-0.0334551,-0.0465096,0.0566295,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458897,7.18763,1.85E-15
4058,-0.0334551,-0.0465096,0.0566295,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458897,7.18763,1.85E-15
4059,-0.0334551,-0.0465096,0.0566294,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458897,7.18763,1.85E-15
4060,-0.0334551,-0.0465096,0.0566294,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458897,7.18763,1.85E-15
4061,-0.0334552,-0.0465096,0.0566294,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458898,7.18763,1.85E-15
4062,-0.0334552,-0.0465096,0.0566293,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458898,7.18763,1.85E-15
4063,-0.0334552,-0.0465096,0.0566293,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458898,7.18763,1.85E-15
4064,-0.0334552,-0.0465096,0.0566293,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458898,7.18763,1.85E-15
4065,-0.0334552,-0.0465097,0.0566292,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458898,7.18763,1.85E-15
4066,-0.0334552,-0.0465097,0.0566292,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458899,7.18763,1.85E-15
4067,-0.0334552,-0.0465097,0.0566292,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458899,7.18763,1.85E-15
4068,-0.0334552,-0.0465097,0.0566291,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458899,7.18763,1.85E-15
4069,-0.0334552,-0.0465097,0.0566291,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458899,7.18763,1.85E-15
4070,-0.0334552,-0.0465097,0.0566291,0.000155264,-1.02E-07,-1.02E-07,0.111145,0.0458899,7.18762,1.85E-15
4071,-0.0334552,-0.0465097,0.0566291,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.04589,7.18762,1.85E-15
4072,-0.0334553,-0.0465097,0.056629,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.04589,7.18762,1.85E-15
4073,-0.0334553,-0.0465097,0.056629,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.04589,7.18762,1.85E-15
4074,-0.0334553,-0.0465097,0.056629,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.04589,7.18762,1.85E-15
4075,-0.0334553,-0.0465097,0.0566289,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.04589,7.18762,1.85E-15
4076,-0.0334553,-0.0465097,0.0566289,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458901,7.18762,1.85E-15
4077,-0.0334553,-0.0465097,0.0566289,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458901,7.18762,1.85E-15
4078,-0.0334553,-0.0465098,0.0566288,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458901,7.18762,1.85E-15
4079,-0.0334553,-0.0465098,0.0566288,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458901,7.18762,1.85E-15
4080,-0.0334553,-0.0465098,0.0566288,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458901,7.18762,1.85E-15
4081,-0.0334553,-0.0465098,0.0566287,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458901,7.18762,1.85E-15
4082,-0.0334553,-0.0465098,0.0566287,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458902,7.18762,1.85E-15
4083,-0.0334553,-0.0465098,0.0566287,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458902,7.18762,1.85E-15
4084,-0.0334554,-0.0465098,0.0566286,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458902,7.18762,1.85E-15
4085,-0.0334554,-0.0465098,0.0566286,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458902,7.18762,1.85E-15
4086,-0.0334554,-0.0465098,0.0566286,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458902,7.18762,1.85E-15
4087,-0.0334554,-0.0465098,0.0566286,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458903,7.18762,1.85E-15
4088,-0.0334554,-0.0465098,0.0566285,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458903,7.18762,1.85E-15
4089,-0.0334554,-0.0465098,0.0566285,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458903,7.18762,1.85E-15
4090,-0.0334554,-0.0465098,0.0566285,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458903,7.18762,1.85E-15
4091,-0.0334554,-0.0465099,0.0566284,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458903,7.18762,1.85E-15
4092,-0.0334554,-0.0465099,0.0566284,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458904,7.18762,1.85E-15
4093,-0.0334554,-0.0465099,0.0566284,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458904,7.18762,1.85E-15
4094,-0.0334554,-0.0465099,0.0566283,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458904,7.18762,1.85E-15
4095,-0.0334554,-0.0465099,0.0566283,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458904,7.18762,1.85E-15
4096,-0.0334555,-0.0465099,0.0566283,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458904,7.18762,1.85E-15
4097,-0.0334555,-0.0465099,0.0566282,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458905,7.18762,1.85E-15
4098,-0.0334555,-0.0465099,0.0566282,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458905,7.18762,1.85E-15
4099,-0.0334555,-0.0465099,0.0566282,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458905,7.18762,1.85E-15
4100,-0.0334555,-0.0465099,0.0566282,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458905,7.18762,1.85E-15
4101,-0.0334555,-0.0465099,0.0566281,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458905,7.18762,1.85E-15
4102,-0.0334555,-0.0465099,0.0566281,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458905,7.18762,1.85E-15
4103,-0.0334555,-0.0465099,0.0566281,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458906,7.18762,1.85E-15
4104,-0.0334555,-0.04651,0.056628,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458906,7.18762,1.85E-15
4105,-0.0334555,-0.04651,0.056628,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458906,7.18762,1.85E-15
4106,-0.0334555,-0.04651,0.056628,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458906,7.18762,1.85E-15
4107,-0.0334555,-0.04651,0.0566279,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458906,7.18762,1.85E-15
4108,-0.0334556,-0.04651,0.0566279,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458907,7.18762,1.85E-15
4109,-0.0334556,-0.04651,0.0566279,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458907,7.18762,1.85E-15
4110,-0.0334556,-0.04651,0.0566278,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458907,7.18762,1.85E-15
4111,-0.0334556,-0.04651,0.0566278,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458907,7.18762,1.85E-15
4112,-0.0334556,-0.04651,0.0566278,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458907,7.18762,1.85E-15
4113,-0.0334556,-0.04651,0.0566278,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458908,7.18762,1.85E-15
4114,-0.0334556,-0.04651,0.0566277,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458908,7.18762,1.85E-15
4115,-0.0334556,-0.04651,0.0566277,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458908,7.18762,1.85E-15
4116,-0.0334556,-0.04651,0.0566277,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458908,7.18762,1.85E-15
4117,-0.0334556,-0.0465101,0.0566276,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458908,7.18762,1.85E-15
4118,-0.0334556,-0.0465101,0.0566276,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458908,7.18762,1.85E-15
4119,-0.0334556,-0.0465101,0.0566276,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458909,7.18761,1.85E-15
4120,-0.0334557,-0.0465101,0.0566275,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458909,7.18761,1.85E-15
4121,-0.0334557,-0.0465101,0.0566275,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458909,7.18761,1.85E-15
4122,-0.0334557,-0.0465101,0.0566275,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458909,7.18761,1.85E-15
4123,-0.0334557,-0.0465101,0.0566275,0.000155264,-1.02E-07,-1.02E-07,0.111144,0.0458909,7.18761,1.85E-15
4124,-0.0334557,-0.0465101,0.0566274,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.045891,7.18761,1.85E-15
4125,-0.0334557,-0.0465101,0.0566274,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.045891,7.18761,1.85E-15
4126,-0.0334557,-0.0465101,0.0566274,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.045891,7.18761,1.85E-15
4127,-0.0334557,-0.0465101,0.0566273,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.045891,7.18761,1.85E-15
4128,-0.0334557,-0.0465101,0.0566273,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.045891,7.18761,1.85E-15
4129,-0.0334557,-0.0465101,0.0566273,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.045891,7.18761,1.85E-15
4130,-0.0334557,-0.0465102,0.0566272,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458911,7.18761,1.85E-15
4131,-0.0334557,-0.0465102,0.0566272,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458911,7.18761,1.85E-15
4132,-0.0334558,-0.0465102,0.0566272,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458911,7.18761,1.85E-15
4133,-0.0334558,-0.0465102,0.0566272,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458911,7.18761,1.85E-15
4134,-0.0334558,-0.0465102,0.0566271,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458911,7.18761,1.85E-15
4135,-0.0334558,-0.0465102,0.0566271,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458912,7.18761,1.85E-15
4136,-0.0334558,-0.0465102,0.0566271,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458912,7.18761,1.85E-15
4137,-0.0334558,-0.0465102,0.056627,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458912,7.18761,1.85E-15
4138,-0.0334558,-0.0465102,0.056627,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458912,7.18761,1.85E-15
4139,-0.0334558,-0.0465102,0.056627,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458912,7.18761,1.85E-15
4140,-0.0334558,-0.0465102,0.056627,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458913,7.18761,1.85E-15
4141,-0.0334558,-0.0465102,0.0566269,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458913,7.18761,1.85E-15
4142,-0.0334558,-0.0465102,0.0566269,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458913,7.18761,1.85E-15
4143,-0.0334558,-0.0465103,0.0566269,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458913,7.18761,1.85E-15
4144,-0.0334559,-0.0465103,0.0566268,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458913,7.18761,1.85E-15
4145,-0.0334559,-0.0465103,0.0566268,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458913,7.18761,1.85E-15
4146,-0.0334559,-0.0465103,0.0566268,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458914,7.18761,1.85E-15
4147,-0.0334559,-0.0465103,0.0566267,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458914,7.18761,1.85E-15
4148,-0.0334559,-0.0465103,0.0566267,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458914,7.18761,1.85E-15
4149,-0.0334559,-0.0465103,0.0566267,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458914,7.18761,1.85E-15
4150,-0.0334559,-0.0465103,0.0566267,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458914,7.18761,1.85E-15
4151,-0.0334559,-0.0465103,0.0566266,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458914,7.18761,1.85E-15
4152,-0.0334559,-0.0465103,0.0566266,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458915,7.18761,1.85E-15
4153,-0.0334559,-0.0465103,0.0566266,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458915,7.18761,1.85E-15
4154,-0.0334559,-0.0465103,0.0566265,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458915,7.18761,1.85E-15
4155,-0.0334559,-0.0465103,0.0566265,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458915,7.18761,1.85E-15
4156,-0.0334559,-0.0465103,0.0566265,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458915,7.18761,1.85E-15
4157,-0.033456,-0.0465104,0.0566265,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458916,7.18761,1.85E-15
4158,-0.033456,-0.0465104,0.0566264,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458916,7.18761,1.85E-15
4159,-0.033456,-0.0465104,0.0566264,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458916,7.18761,1.85E-15
4160,-0.033456,-0.0465104,0.0566264,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458916,7.18761,1.85E-15
4161,-0.033456,-0.0465104,0.0566263,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458916,7.18761,1.85E-15
4162,-0.033456,-0.0465104,0.0566263,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458916,7.18761,1.85E-15
4163,-0.033456,-0.0465104,0.0566263,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458917,7.18761,1.85E-15
4164,-0.033456,-0.0465104,0.0566263,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458917,7.18761,1.85E-15
4165,-0.033456,-0.0465104,0.0566262,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458917,7.18761,1.85E-15
4166,-0.033456,-0.0465104,0.0566262,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458917,7.18761,1.85E-15
4167,-0.033456,-0.0465104,0.0566262,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458917,7.18761,1.85E-15
4168,-0.033456,-0.0465104,0.0566261,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458918,7.18761,1.85E-15
4169,-0.033456,-0.0465104,0.0566261,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458918,7.18761,1.85E-15
4170,-0.0334561,-0.0465104,0.0566261,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458918,7.1876,1.85E-15
4171,-0.0334561,-0.0465105,0.0566261,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458918,7.1876,1.85E-15
4172,-0.0334561,-0.0465105,0.056626,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458918,7.1876,1.85E-15
4173,-0.0334561,-0.0465105,0.056626,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458918,7.1876,1.85E-15
4174,-0.0334561,-0.0465105,0.056626,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458919,7.1876,1.85E-15
4175,-0.0334561,-0.0465105,0.0566259,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458919,7.1876,1.85E-15
4176,-0.0334561,-0.0465105,0.0566259,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458919,7.1876,1.85E-15
4177,-0.0334561,-0.0465105,0.0566259,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458919,7.1876,1.85E-15
4178,-0.0334561,-0.0465105,0.0566259,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458919,7.1876,1.85E-15
4179,-0.0334561,-0.0465105,0.0566258,0.000155264,-1.02E-07,-1.02E-07,0.111143,0.0458919,7.1876,1.85E-15
4180,-0.0334561,-0.0465105,0.0566258,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.045892,7.1876,1.85E-15
4181,-0.0334561,-0.0465105,0.0566258,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.045892,7.1876,1.85E-15
4182,-0.0334561,-0.0465105,0.0566257,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.045892,7.1876,1.85E-15
4183,-0.0334562,-0.0465105,0.0566257,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.045892,7.1876,1.85E-15
4184,-0.0334562,-0.0465105,0.0566257,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.045892,7.1876,1.85E-15
4185,-0.0334562,-0.0465106,0.0566257,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.045892,7.1876,1.85E-15
4186,-0.0334562,-0.0465106,0.0566256,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458921,7.1876,1.85E-15
4187,-0.0334562,-0.0465106,0.0566256,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458921,7.1876,1.85E-15
4188,-0.0334562,-0.0465106,0.0566256,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458921,7.1876,1.85E-15
4189,-0.0334562,-0.0465106,0.0566255,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458921,7.1876,1.85E-15
4190,-0.0334562,-0.0465106,0.0566255,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458921,7.1876,1.85E-15
4191,-0.0334562,-0.0465106,0.0566255,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458922,7.1876,1.85E-15
4192,-0.0334562,-0.0465106,0.0566255,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458922,7.1876,1.85E-15
4193,-0.0334562,-0.0465106,0.0566254,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458922,7.1876,1.85E-15
4194,-0.0334562,-0.0465106,0.0566254,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458922,7.1876,1.85E-15
4195,-0.0334562,-0.0465106,0.0566254,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458922,7.1876,1.85E-15
4196,-0.0334563,-0.0465106,0.0566254,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458922,7.1876,1.85E-15
4197,-0.0334563,-0.0465106,0.0566253,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458923,7.1876,1.85E-15
4198,-0.0334563,-0.0465106,0.0566253,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458923,7.1876,1.85E-15
4199,-0.0334563,-0.0465107,0.0566253,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458923,7.1876,1.85E-15
4200,-0.0334563,-0.0465107,0.0566252,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458923,7.1876,1.85E-15
4201,-0.0334563,-0.0465107,0.0566252,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458923,7.1876,1.85E-15
4202,-0.0334563,-0.0465107,0.0566252,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458923,7.1876,1.85E-15
4203,-0.0334563,-0.0465107,0.0566252,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458924,7.1876,1.85E-15
4204,-0.0334563,-0.0465107,0.0566251,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458924,7.1876,1.85E-15
4205,-0.0334563,-0.0465107,0.0566251,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458924,7.1876,1.85E-15
4206,-0.0334563,-0.0465107,0.0566251,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458924,7.1876,1.85E-15
4207,-0.0334563,-0.0465107,0.056625,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458924,7.1876,1.85E-15
4208,-0.0334563,-0.0465107,0.056625,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458924,7.1876,1.85E-15
4209,-0.0334564,-0.0465107,0.056625,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458925,7.1876,1.85E-15
4210,-0.0334564,-0.0465107,0.056625,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458925,7.1876,1.85E-15
4211,-0.0334564,-0.0465107,0.0566249,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458925,7.1876,1.85E-15
4212,-0.0334564,-0.0465107,0.0566249,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458925,7.1876,1.85E-15
4213,-0.0334564,-0.0465107,0.0566249,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458925,7.1876,1.85E-15
4214,-0.0334564,-0.0465108,0.0566249,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458925,7.1876,1.85E-15
4215,-0.0334564,-0.0465108,0.0566248,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458926,7.1876,1.85E-15
4216,-0.0334564,-0.0465108,0.0566248,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458926,7.1876,1.85E-15
4217,-0.0334564,-0.0465108,0.0566248,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458926,7.1876,1.85E-15
4218,-0.0334564,-0.0465108,0.0566247,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458926,7.1876,1.85E-15
4219,-0.0334564,-0.0465108,0.0566247,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458926,7.1876,1.85E-15
4220,-0.0334564,-0.0465108,0.0566247,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458926,7.1876,1.85E-15
4221,-0.0334564,-0.0465108,0.0566247,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458927,7.1876,1.85E-15
4222,-0.0334565,-0.0465108,0.0566246,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458927,7.1876,1.85E-15
4223,-0.0334565,-0.0465108,0.0566246,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458927,7.1876,1.85E-15
4224,-0.0334565,-0.0465108,0.0566246,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458927,7.1876,1.85E-15
4225,-0.0334565,-0.0465108,0.0566246,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458927,7.18759,1.85E-15
4226,-0.0334565,-0.0465108,0.0566245,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458927,7.18759,1.85E-15
4227,-0.0334565,-0.0465108,0.0566245,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458928,7.18759,1.85E-15
4228,-0.0334565,-0.0465108,0.0566245,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458928,7.18759,1.85E-15
4229,-0.0334565,-0.0465109,0.0566245,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458928,7.18759,1.85E-15
4230,-0.0334565,-0.0465109,0.0566244,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458928,7.18759,1.85E-15
4231,-0.0334565,-0.0465109,0.0566244,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458928,7.18759,1.85E-15
4232,-0.0334565,-0.0465109,0.0566244,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458928,7.18759,1.85E-15
4233,-0.0334565,-0.0465109,0.0566243,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458929,7.18759,1.85E-15
4234,-0.0334565,-0.0465109,0.0566243,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458929,7.18759,1.85E-15
4235,-0.0334565,-0.0465109,0.0566243,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458929,7.18759,1.85E-15
4236,-0.0334566,-0.0465109,0.0566243,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458929,7.18759,1.85E-15
4237,-0.0334566,-0.0465109,0.0566242,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458929,7.18759,1.85E-15
4238,-0.0334566,-0.0465109,0.0566242,0.000155264,-1.02E-07,-1.02E-07,0.111142,0.0458929,7.18759,1.85E-15
4239,-0.0334566,-0.0465109,0.0566242,0.000155264,-1.02E-07,-1.02E-07,0.111141,0.045893,7.18759,1.85E-15
